# 2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1.000,0.000,5.600,8.500,0.000,0.500,0.000,4.900,0.000,2.300
1.000,0.000,4.000,8.400,0.000,0.300,0.700,0.000,0.000,3.500
3.000,0.100,4.200,1.000,4.500,7.300,7.700,0.400,0.000,6.900
0.000,0.100,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.400
7.400,3.200,3.800,0.200,0.000,0.000,0.000,4.300,0.400,1.200
0.000,0.000,0.000,0.000,0.000,0.700,6.500,4.200,2.700,1.500
1.700,0.200,0.000,0.000,0.000,0.100,4.100,0.000,0.400,1.500
2.300,0.000,0.000,0.000,0.000,0.000,8.700,0.500,4.100,3.800
0.000,0.000,0.000,3.400,0.700,0.700,0.800,2.100,0.100,7.300
0.100,9.500,0.400,0.000,0.200,0.000,0.000,1.300,0.000,6.200
0.000,0.100,0.000,7.700,0.000,0.000,0.200,7.500,0.000,4.300
0.200,6.900,0.000,1.400,4.200,0.300,0.000,8.800,0.000,2.200
7.000,3.200,2.800,6.800,0.800,1.400,0.000,0.000,0.000,7.900
5.500,4.700,1.200,2.300,0.000,0.000,0.000,0.100,1.300,0.000
2.300,1.100,5.000,0.800,0.100,6.800,0.000,0.000,3.600,0.200
0.000,2.800,1.100,2.300,0.000,7.500,0.000,0.000,0.900,7.000
9.200,2.700,5.700,3.700,0.500,6.000,0.300,2.900,9.700,4.000
7.500,2.900,0.400,5.400,6.500,9.400,0.000,4.000,2.900,8.900
8.100,3.900,3.700,5.100,0.000,4.000,9.000,0.000,9.800,8.900
8.200,6.400,0.000,0.000,0.000,9.900,10.200,8.600,5.000,2.100
2.100,2.900,0.000,0.000,6.400,4.000,10.200,0.000,2.900,2.800
1.100,0.100,3.600,2.000,5.100,4.000,10.300,9.600,0.000,7.400
6.000,2.500,0.400,0.000,1.100,0.500,3.800,1.100,0.000,10.000
7.700,0.000,5.800,5.700,1.500,0.000,0.000,6.000,0.000,9.100
3.800,4.000,9.100,0.900,8.200,1.200,10.200,0.000,7.200,10.300
1.800,10.100,10.100,0.900,0.000,0.000,2.100,1.300,10.400,10.400
5.400,10.800,10.000,5.800,9.700,4.000,0.000,0.000,7.300,10.300
9.900,9.600,10.400,6.700,0.100,1.800,1.600,0.100,8.500,0.000
0.000,0.000,7.300,0.000,0.700,0.000,0.000,4.000,7.100,4.500
2.700,0.000,7.600,0.200,0.000,9.300,4.900,2.800,0.000,1.700
0.900,1.600,8.400,5.700,10.100,4.300,0.100,4.400,1.500,1.200
0.000,3.900,4.000,8.600,6.600,5.800,1.600,0.900,0.000,0.300
5.300,1.000,3.100,9.400,9.400,1.100,9.900,10.400,0.300,4.400
11.200,8.100,9.500,0.300,10.800,0.000,6.400,0.300,0.400,9.700
10.500,10.800,3.300,1.200,4.000,8.500,0.000,5.100,3.900,1.200
7.200,10.600,1.900,1.400,6.700,6.700,10.800,10.800,5.700,5.200
5.200,10.300,8.700,8.700,2.200,10.700,11.000,10.900,10.400,5.500
9.500,3.800,9.100,6.200,9.100,4.400,11.400,0.000,8.300,10.500
0.000,0.000,11.200,3.900,0.000,8.300,0.000,11.100,7.700,9.300
0.000,2.700,11.100,8.600,0.000,0.800,11.200,3.600,2.800,4.000
0.000,1.800,11.400,9.700,3.100,2.800,11.700,9.000,11.300,9.500
4.000,6.400,11.300,5.000,0.600,7.400,10.700,10.900,4.900,0.800
1.100,1.300,7.500,8.000,8.100,3.500,10.700,3.400,0.600,5.200
8.800,0.000,9.400,3.000,10.700,2.200,5.000,1.700,5.000,0.000
12.300,0.100,11.100,1.800,0.200,9.600,0.300,9.500,9.000,0.000
12.400,3.500,11.400,4.100,0.400,3.000,3.100,2.600,11.900,0.800
12.400,1.200,10.500,0.500,8.900,8.700,8.900,1.100,12.000,5.200
12.200,7.500,10.100,0.600,11.800,1.700,2.300,0.000,11.200,5.100
8.700,7.900,9.000,0.100,0.700,2.400,8.100,1.700,9.500,0.000
11.100,8.200,3.700,7.300,10.300,4.000,0.000,11.800,5.600,0.100
3.000,2.400,4.600,9.000,7.500,7.300,2.300,1.500,9.200,0.000
5.200,10.400,7.000,10.400,6.400,10.500,6.100,10.600,9.600,1.800
7.800,4.100,2.500,12.000,5.400,2.400,5.400,9.600,11.000,3.100
8.700,5.700,4.100,11.900,10.900,12.200,11.000,0.000,3.700,5.500
5.500,10.400,4.400,11.600,12.200,10.100,11.300,0.200,0.000,4.600
12.700,6.700,11.300,0.000,10.200,1.300,9.200,6.800,0.000,6.200
7.800,3.100,6.000,10.500,9.100,12.300,7.600,5.100,0.700,4.700
0.000,1.100,10.000,12.000,6.100,7.700,9.800,6.800,0.000,11.200
0.100,9.000,12.400,8.300,10.100,11.800,12.400,10.200,0.000,7.900
11.100,9.600,12.600,8.000,11.900,10.100,11.300,11.100,6.100,8.300
8.500,5.700,12.400,5.200,10.000,10.200,6.100,9.100,3.200,12.700
6.900,5.600,11.600,1.500,12.800,12.200,7.000,6.600,8.600,4.500
0.000,6.800,11.300,11.800,12.900,12.600,3.500,4.600,5.900,7.000
1.000,6.000,7.000,6.300,13.000,11.800,12.800,3.400,7.400,12.900
13.600,2.700,0.500,9.900,12.900,6.100,12.700,5.500,12.000,12.700
13.200,0.200,6.000,13.100,13.000,6.900,12.800,6.000,8.200,4.500
2.700,6.700,10.300,13.200,1.100,12.200,11.700,2.800,11.400,8.000
13.400,1.000,4.600,13.100,12.100,11.200,10.100,5.400,4.800,4.400
13.400,3.400,1.900,2.800,13.200,9.400,13.200,2.600,7.000,0.000
13.400,7.500,10.700,12.200,12.000,10.800,13.500,7.700,2.700,9.400
6.200,0.000,9.700,2.600,4.800,2.800,10.800,4.800,0.000,9.000
2.700,8.900,13.300,6.000,3.600,12.300,7.800,12.200,6.500,8.600
12.900,6.200,13.100,1.600,0.200,6.500,5.600,0.000,9.600,7.800
0.400,2.300,13.900,2.600,0.100,9.000,10.200,4.100,7.400,8.400
1.700,0.500,14.000,9.600,4.600,3.500,13.900,10.400,13.500,11.000
1.600,10.000,14.000,10.600,13.400,0.900,13.100,8.600,13.900,5.800
3.000,13.000,11.300,13.700,8.700,11.700,13.800,13.100,12.000,5.400
5.500,12.000,14.000,9.700,2.100,0.100,11.500,7.800,12.500,8.100
2.700,13.400,14.200,13.700,12.200,8.900,13.200,0.000,13.500,4.000
5.900,13.900,12.700,13.800,5.100,13.800,12.500,10.400,0.800,4.100
7.500,12.300,3.400,13.900,10.200,7.900,13.400,6.700,12.300,1.400
6.500,12.000,4.700,14.000,3.200,0.000,12.500,12.300,8.500,5.600
11.100,13.300,7.400,9.300,5.300,0.000,14.000,0.800,4.500,3.900
10.400,14.200,11.300,14.100,10.900,4.100,11.800,4.100,8.100,3.300
11.500,14.500,7.800,14.200,13.700,7.700,7.900,1.000,3.100,1.000
6.100,14.300,2.200,14.200,12.400,7.100,11.300,4.900,4.700,1.500
6.900,12.400,4.300,14.000,14.400,0.000,5.300,9.900,10.000,6.900
13.400,2.500,5.000,9.200,14.300,5.200,13.300,12.100,2.900,8.700
11.800,13.500,3.100,13.900,13.600,11.100,6.800,1.500,8.700,7.000
13.600,5.000,13.000,14.400,0.100,4.500,8.000,2.400,3.500,6.500
1.900,0.600,0.000,13.500,9.400,12.100,0.000,7.100,4.400,6.400
10.600,5.900,12.400,0.000,0.600,11.000,2.200,8.200,3.700,14.500
11.700,5.000,7.400,9.600,10.600,9.900,1.100,8.300,0.000,12.000
4.000,3.200,14.100,10.800,9.500,9.100,12.100,4.200,0.000,6.700
0.800,0.500,11.800,11.100,13.000,12.700,13.000,1.900,0.100,11.800
10.100,6.500,6.200,14.000,6.800,13.400,14.800,11.800,0.000,2.800
11.700,4.000,4.200,14.700,9.700,8.600,3.100,4.500,5.400,8.000
14.100,6.300,15.100,12.500,13.500,1.600,14.200,13.500,12.300,1.600
6.900,3.400,6.200,14.500,11.700,4.000,12.300,14.600,9.300,8.900
6.800,12.100,12.800,7.100,11.100,12.900,13.000,14.300,0.000,14.000
9.600,6.700,2.200,3.700,4.600,9.300,8.400,13.600,6.000,11.300
15.300,2.000,0.000,1.900,10.600,9.400,2.000,14.300,0.000,7.000
12.500,3.900,0.000,5.600,13.000,11.600,2.300,14.200,4.800,0.000
10.500,10.500,0.000,5.200,14.700,6.500,0.000,9.600,4.800,8.000
6.500,2.200,13.800,12.300,15.100,0.200,10.800,2.300,4.600,13.600
8.200,2.800,0.200,12.700,13.700,9.900,1.500,0.100,11.200,12.000
6.100,6.800,14.800,3.000,15.200,12.400,14.300,7.500,0.000,2.900
0.100,8.700,8.000,13.800,13.700,14.200,15.400,10.200,11.100,13.000
4.200,2.000,11.600,11.000,10.500,15.000,15.400,2.500,12.300,14.900
3.300,6.600,12.400,1.900,6.500,9.600,14.800,1.500,15.200,9.300
3.200,8.900,2.300,15.100,12.400,8.100,13.200,8.100,14.800,5.500
6.900,16.100,8.900,14.200,9.500,7.300,0.900,0.000,15.200,10.800
11.800,10.600,13.900,9.600,1.800,3.000,1.700,4.700,15.300,11.200
9.900,15.200,14.800,15.100,9.100,5.100,0.200,6.100,0.100,6.000
4.400,14.600,15.300,13.300,1.200,1.200,14.200,0.200,3.000,10.000
3.500,9.200,12.400,7.700,6.400,1.100,14.200,7.300,6.800,8.800
6.300,16.300,15.800,8.200,2.700,0.700,6.100,11.600,5.700,11.100
5.000,16.200,0.000,11.700,10.600,5.300,15.400,12.900,0.600,12.800
9.200,15.300,6.700,10.100,9.200,4.100,0.700,9.600,3.300,4.600
13.000,2.100,0.900,12.900,5.100,2.100,13.800,11.500,10.900,13.900
14.300,0.800,0.000,12.000,7.800,9.700,10.900,1.200,10.400,13.100
6.300,6.100,2.100,11.600,8.100,15.500,2.500,5.000,8.300,4.700
3.000,4.100,5.800,13.300,10.600,15.400,8.700,8.100,11.000,13.300
16.500,11.300,2.100,7.300,11.000,2.000,3.300,5.300,10.800,0.100
16.600,11.600,9.000,5.300,10.900,1.000,3.700,10.800,0.900,1.000
14.600,14.500,4.500,11.700,8.600,4.800,12.500,9.100,3.500,7.000
8.000,0.100,3.600,11.600,9.200,9.000,6.900,12.800,0.000,6.700
15.800,5.200,3.700,7.500,11.500,13.100,5.900,6.800,2.500,8.800
16.500,12.600,11.700,7.700,15.500,14.800,6.600,10.500,2.500,1.800
11.800,6.500,3.300,13.200,9.300,11.400,11.400,0.100,3.700,3.500
9.100,7.200,1.800,8.600,11.400,13.600,3.000,2.100,5.600,15.100
12.600,0.000,0.800,13.300,2.600,15.500,12.600,0.100,4.000,10.500
10.800,0.400,1.700,9.300,3.700,15.300,15.600,0.000,0.000,1.400
11.300,11.700,11.200,6.800,10.200,14.500,14.100,3.500,0.000,5.300
15.200,8.700,0.800,2.500,12.700,10.100,1.000,2.500,7.300,9.200
2.700,15.900,13.000,15.200,14.400,11.400,5.200,7.800,2.000,11.300
5.500,15.500,3.700,15.300,11.000,6.900,11.100,10.600,6.900,5.700
13.200,15.700,2.600,14.200,15.200,9.900,0.000,9.800,11.200,3.700
1.000,15.900,1.700,4.600,12.200,9.800,0.000,12.000,0.700,2.300
10.100,15.900,10.500,0.000,0.200,14.400,0.000,14.600,2.600,14.600
3.200,12.400,9.400,8.600,14.500,6.000,0.100,8.200,12.900,3.700
10.200,10.100,2.300,6.100,10.300,10.100,4.600,2.000,15.000,7.400
5.300,9.700,7.500,4.900,8.800,12.700,5.300,11.000,15.100,12.300
3.800,8.100,13.800,7.900,8.600,5.400,5.200,7.800,14.300,0.000
14.000,3.100,12.400,4.900,8.300,11.700,5.200,0.000,12.800,11.000
13.500,12.300,11.400,4.500,3.500,13.300,12.600,4.400,7.200,15.300
14.900,5.200,0.000,6.200,4.400,9.000,14.900,3.400,2.000,15.200
15.800,15.700,1.500,3.500,1.700,4.700,10.800,8.200,0.600,10.600
0.700,13.800,0.300,9.200,4.800,7.800,0.000,2.200,0.000,0.000
7.900,12.900,12.300,10.300,9.300,12.700,0.000,10.300,5.200,3.900
7.700,15.800,6.600,0.400,9.000,12.000,2.300,7.800,7.400,2.300
6.300,15.800,10.800,3.200,13.300,8.100,2.400,11.100,8.100,12.900
3.400,15.800,10.500,1.600,3.200,10.000,5.600,7.900,6.600,11.700
4.900,15.700,14.900,2.900,6.000,12.600,1.000,0.300,15.000,14.700
8.200,10.800,11.600,2.800,9.200,12.500,8.100,1.500,4.000,13.600
4.700,3.500,9.300,8.600,9.300,10.300,2.700,2.200,9.600,3.100
0.000,13.500,9.300,7.100,8.300,10.300,8.800,6.000,10.800,8.500
1.200,8.800,5.500,3.000,6.600,6.900,0.000,9.200,14.700,13.700
2.600,8.300,8.500,0.000,2.900,8.200,0.500,14.100,14.700,14.800
6.900,12.700,3.800,14.600,7.200,8.700,0.600,14.100,5.700,11.700
1.100,14.200,10.900,7.300,8.400,12.700,1.900,14.000,9.700,7.900
4.200,15.300,0.000,13.900,9.100,9.200,4.500,14.000,6.000,8.200
3.600,11.700,6.000,14.000,4.300,13.500,9.400,8.100,4.200,7.000
0.500,5.400,10.400,14.400,10.500,5.900,11.300,6.400,4.800,13.400
6.100,12.500,3.200,10.600,1.900,7.800,0.200,2.500,9.000,14.200
3.200,3.300,0.400,12.800,5.700,1.100,0.900,7.100,9.100,11.300
3.400,9.400,6.200,14.100,13.500,1.600,0.000,4.600,12.700,10.300
0.200,2.900,13.300,1.500,5.700,7.400,2.700,8.800,9.800,10.400
8.100,7.300,5.100,7.600,0.100,2.500,8.200,2.200,13.800,12.100
4.600,4.300,13.200,7.200,12.800,11.600,1.600,8.800,9.600,10.300
10.300,7.800,10.500,9.200,14.000,0.800,5.100,4.100,14.100,3.800
1.000,14.400,14.200,8.200,12.000,8.600,9.800,9.800,11.500,11.300
8.100,14.700,13.400,1.300,9.100,11.600,3.200,8.000,8.300,11.100
9.400,2.600,0.100,2.300,12.300,3.300,10.100,10.200,6.300,6.100
3.200,4.100,0.200,3.000,3.400,5.600,3.100,7.300,8.500,11.000
0.300,3.300,7.600,7.000,0.600,6.500,3.300,6.200,8.400,7.800
0.100,3.500,3.300,3.700,5.900,6.600,1.400,2.900,4.300,2.300
0.800,6.300,8.400,5.700,4.800,8.000,0.000,12.000,3.700,9.100
3.400,3.200,11.200,3.700,7.600,8.800,0.000,13.100,7.500,7.600
4.300,6.500,8.700,7.000,10.300,12.700,8.000,13.000,8.300,7.300
0.000,2.700,8.000,4.000,8.900,10.400,1.400,12.200,10.200,1.900
7.600,2.000,5.300,12.700,9.900,7.600,10.300,12.800,5.900,7.900
4.900,8.400,3.600,10.800,12.600,1.800,1.400,7.600,2.200,1.000
7.400,4.500,3.300,9.400,2.900,1.000,10.300,10.300,3.200,0.500
13.700,0.000,7.900,1.500,11.800,4.900,6.400,11.800,6.700,4.100
11.700,6.900,4.700,2.700,12.000,11.900,4.500,10.200,5.400,2.800
5.600,4.400,7.200,3.500,8.500,1.100,12.200,9.300,9.900,6.100
2.500,6.800,0.000,1.600,6.700,0.600,8.200,1.800,10.600,2.800
1.800,6.800,5.900,1.400,12.500,2.100,8.200,11.600,8.500,0.700
0.500,9.500,6.200,1.100,12.700,2.500,2.100,9.400,12.500,4.900
8.400,4.800,6.900,5.300,12.800,7.300,0.400,0.300,12.600,6.100
4.700,5.400,1.500,3.500,0.000,4.000,7.500,3.100,11.300,11.400
3.900,7.900,8.300,0.000,7.600,0.100,5.700,6.600,12.900,12.700
7.400,6.000,4.500,0.000,2.800,2.300,0.700,11.100,11.300,12.200
2.600,1.400,8.900,1.800,4.900,8.500,5.000,3.700,12.500,10.500
12.900,6.800,6.400,0.400,2.700,1.500,5.200,8.600,6.700,6.900
11.600,5.100,1.100,12.000,6.300,9.000,6.000,7.700,1.400,4.200
12.800,4.200,1.800,12.100,0.300,5.500,4.500,0.400,4.000,5.300
9.700,1.500,2.100,1.400,5.900,2.000,4.000,8.000,1.600,4.000
3.600,3.600,2.000,0.600,3.100,4.600,9.500,4.500,0.100,10.500
12.800,1.400,6.700,0.800,1.500,8.800,10.000,7.400,4.500,12.400
12.400,3.900,9.900,1.000,4.300,12.100,3.800,7.100,3.300,11.900
12.300,5.100,0.100,2.400,5.800,12.100,3.300,5.600,11.200,5.800
12.300,5.500,6.900,7.100,0.500,12.100,1.300,1.500,11.000,1.200
4.000,4.800,8.300,3.900,1.500,4.300,4.600,0.000,2.800,2.100
9.800,5.900,1.900,2.400,11.600,0.000,3.900,5.600,0.000,5.100
6.600,0.000,0.200,8.700,2.200,0.000,1.000,7.200,0.200,0.600
3.200,12.400,3.600,7.400,5.300,5.800,5.200,5.000,0.100,6.400
0.000,12.200,5.900,10.100,6.600,3.800,5.500,1.400,7.600,11.000
9.100,11.400,1.600,11.200,4.700,0.100,0.000,5.500,1.700,8.300
9.800,10.900,3.900,11.200,9.600,4.700,4.200,6.300,8.500,11.000
2.700,11.500,1.000,7.300,8.800,0.100,3.800,0.900,0.000,0.700
1.300,11.500,4.300,3.200,11.300,4.100,4.500,1.500,2.600,1.900
4.900,6.100,10.900,0.600,10.900,4.400,5.300,4.600,3.200,9.200
5.300,10.000,0.200,8.500,9.400,1.700,0.900,7.900,1.900,9.600
0.000,0.000,5.500,10.500,11.100,5.100,2.700,2.000,6.500,11.000
8.000,3.900,1.200,4.000,11.000,0.900,5.700,4.200,4.400,8.700
11.300,11.100,0.100,3.000,3.700,0.100,0.000,0.900,3.700,0.000
7.900,11.400,2.200,5.500,7.900,8.300,0.000,0.300,1.500,6.500
11.300,11.000,10.300,4.900,2.200,9.100,6.200,4.900,6.300,4.500
11.100,4.100,10.000,0.000,2.400,7.700,8.500,8.600,1.600,2.000
0.700,8.700,5.700,5.400,5.800,0.000,7.700,0.000,0.000,0.200
5.000,8.800,2.900,9.300,1.200,8.500,10.100,4.100,0.000,0.300
9.100,0.000,7.000,5.200,0.000,0.000,2.400,0.200,7.300,0.200
0.500,5.400,10.400,6.000,6.600,0.000,9.900,0.000,9.000,8.400
4.800,2.300,0.000,3.300,0.000,3.600,10.000,2.700,7.100,6.800
4.700,3.300,1.700,4.500,0.200,7.400,10.400,3.400,10.500,3.200
1.600,7.500,1.200,1.700,1.900,8.600,10.600,4.400,9.800,0.900
4.400,2.300,3.900,4.100,4.500,0.000,10.600,0.000,10.400,1.800
9.000,3.800,6.400,0.100,4.700,0.000,9.800,6.800,10.200,7.300
3.700,3.100,6.900,1.600,0.000,7.100,4.100,0.800,10.000,2.200
10.800,2.900,1.800,3.300,3.500,0.400,2.200,2.300,0.500,10.000
10.400,4.900,1.200,0.000,2.000,6.100,0.300,0.700,4.500,0.000
10.000,0.000,2.200,9.300,4.200,0.000,2.600,4.400,6.200,6.900
9.900,2.700,9.900,4.900,3.400,8.300,4.500,6.400,9.900,1.500
8.900,0.400,0.000,0.000,3.500,5.800,2.100,4.600,2.300,3.000
3.600,6.700,0.000,7.200,5.600,9.700,1.500,4.300,0.400,4.500
7.400,6.700,8.800,2.800,0.000,9.700,0.000,3.900,3.100,5.300
10.000,6.400,1.900,9.400,0.800,2.100,2.200,3.300,3.500,4.600
9.600,0.000,1.600,0.000,3.900,4.100,4.900,1.400,0.000,6.300
9.000,0.000,9.300,0.700,7.200,6.900,9.200,4.600,4.200,0.000
0.000,2.300,9.300,0.300,9.300,0.100,9.500,0.400,3.500,5.900
9.000,0.000,8.200,0.100,9.400,0.100,9.600,2.400,1.100,1.400
10.100,4.500,0.100,0.300,1.300,8.000,9.500,0.300,0.600,0.000
6.800,9.000,0.100,3.600,8.800,8.200,2.900,1.900,0.700,4.300
7.800,1.100,3.300,1.300,8.000,0.400,2.300,0.000,6.200,0.900
7.700,5.100,6.300,0.500,2.400,2.800,3.200,4.900,0.000,0.100
2.300,1.900,0.100,5.100,8.200,3.800,4.900,1.000,0.100,2.600
0.400,1.100,3.000,1.100,0.100,3.200,3.800,0.000,1.300,0.000
1.000,1.600,8.500,3.900,0.000,0.600,9.000,0.000,7.800,0.000
2.800,3.900,3.300,7.100,0.000,0.200,9.100,0.000,2.300,0.000
0.000,0.800,0.000,0.000,0.000,1.600,6.000,0.000,5.700,0.000
0.100,7.400,0.000,7.200,5.500,3.800,2.300,1.000,0.000,4.800
3.000,0.800,0.100,0.000,0.100,0.500,2.000,1.800,5.800,1.100
7.300,0.000,2.900,2.100,0.200,0.000,1.600,7.100,1.500,4.400
7.500,0.700,0.000,0.000,0.800,0.200,0.300,4.600,1.000,8.200
5.200,1.400,0.000,2.500,0.300,3.600,0.500,0.000,0.400,0.900
8.700,0.000,4.100,1.900,0.000,0.000,0.000,4.600,3.700,4.300
4.900,1.900,0.100,7.300,0.500,0.000,0.000,4.100,0.100,0.000
2.900,1.000,0.200,0.000,0.000,0.000,5.300,1.000,0.000,7.400
0.000,1.300,0.000,0.000,3.900,0.000,1.600,1.100,0.000,6.200
5.200,1.000,0.500,0.000,6.300,1.700,0.700,1.400,3.200,0.500
1.300,0.500,0.000,0.000,0.800,0.000,3.100,3.900,0.100,0.000
2.600,0.000,0.100,0.000,0.000,1.900,0.700,0.600,2.900,1.000
5.700,1.300,1.900,0.000,1.400,4.000,0.000,2.100,1.800,3.200
0.500,3.000,2.300,0.000,0.000,5.900,0.000,0.100,1.900,3.700
5.200,0.000,0.200,6.400,0.000,3.400,0.000,0.700,4.700,2.600
5.300,2.900,0.400,2.900,0.000,0.000,0.000,0.000,1.500,3.300
1.900,0.500,2.500,1.400,0.000,1.900,0.000,0.000,1.400,0.200
0.000,2.700,2.900,2.900,0.000,2.500,3.100,5.300,2.200,7.200
2.900,2.700,5.400,0.500,0.200,0.400,3.800,2.400,0.000,0.000
2.200,0.000,0.000,4.200,0.000,0.800,7.000,0.000,4.700,1.200
2.200,0.200,4.900,0.000,0.100,0.000,0.000,0.000,0.400,0.000
2.100,1.400,0.500,0.000,3.200,1.800,0.000,0.000,1.800,0.000
1.400,2.900,4.700,2.000,0.000,1.700,0.000,0.000,0.500,0.000
2.400,1.500,0.000,5.100,3.800,0.500,0.000,4.800,3.000,1.300
7.300,2.000,2.400,0.600,0.000,0.000,0.000,0.300,0.000,0.000
1.100,0.200,0.000,0.000,0.000,0.000,0.000,3.900,0.000,0.000
0.000,0.000,0.400,0.000,3.800,0.700,0.000,1.800,1.600,0.000
4.800,2.600,0.400,0.800,0.000,0.200,0.800,0.000,6.300,2.900
0.000,1.100,6.400,0.500,2.300,1.500,0.000,5.300,0.000,0.000
0.000,0.000,2.300,1.600,0.100,0.000,0.700,0.000,4.400,1.700
0.000,3.200,0.400,4.600,1.700,3.600,0.000,0.000,2.700,3.500
0.000,0.000,1.400,1.000,0.000,0.800,0.400,0.200,5.600,4.900
0.000,2.900,1.900,0.000,0.400,0.500,0.100,2.000,2.700,0.300
0.000,1.800,2.700,0.000,0.300,1.800,1.100,1.300,0.000,0.000
0.000,5.200,0.000,0.000,0.000,5.000,5.400,0.500,0.100,0.000
0.000,4.700,0.000,0.000,0.000,0.000,0.000,0.600,0.000,0.000
1.000,0.400,0.400,0.000,1.500,0.000,4.000,3.500,2.300,0.000
3.300,0.000,0.600,0.900,6.100,4.400,0.000,2.800,0.800,0.000
5.100,0.000,0.300,0.700,2.200,0.000,0.600,0.000,2.400,0.000
0.000,1.000,0.300,0.000,0.800,1.000,0.900,0.000,0.000,0.000
0.000,2.200,2.200,0.000,0.000,1.600,0.200,0.000,0.000,0.000
0.000,0.300,0.000,0.000,0.000,0.000,0.000,0.400,0.000,0.000
0.000,1.700,0.800,1.200,0.000,3.300,0.000,1.800,1.100,3.600
0.000,0.000,0.100,0.900,2.000,0.100,0.000,3.400,0.100,0.000
0.000,0.000,1.600,0.000,0.000,0.000,0.000,0.000,0.000,0.200
2.400,3.200,3.900,0.000,0.000,1.900,0.200,1.100,0.000,0.700
0.100,4.800,3.600,0.500,0.000,0.000,0.600,0.000,1.900,2.700
0.000,0.000,5.500,2.000,0.200,1.200,0.200,2.400,0.000,0.200
4.600,4.100,0.600,0.100,1.100,4.000,0.800,0.200,1.700,0.000
0.100,0.000,0.000,0.000,2.400,0.800,0.800,1.000,0.000,2.300
0.100,0.100,0.000,3.500,0.000,0.100,0.600,0.000,2.300,3.700
